Model,N,InferenceTime_ms
XGBoost,10,1.337906054686755
MLP_NN,10,0.9723750408738852
LSTM,10,27.19921199604869
XGBoost,10,1.4079289976507425
MLP_NN,10,1.0078349732793868
LSTM,10,27.237906004302204
XGBoost,10,1.3671329943463206
MLP_NN,10,0.9619049960747361
LSTM,10,33.72683498309925
XGBoost,10,1.8876739777624607
MLP_NN,10,1.0058259940706193
LSTM,10,28.056880983058363
XGBoost,10,1.4138590195216238
MLP_NN,10,1.0163889965042472
LSTM,10,27.58544497191906
XGBoost,10,1.33598898537457
MLP_NN,10,0.9958340087905526
LSTM,10,27.952284028287977
XGBoost,10,1.506196043919772
MLP_NN,10,0.9719610097818077
LSTM,10,28.35811401018873
XGBoost,10,1.4575799577869475
MLP_NN,10,0.9707949939183891
LSTM,10,28.13251398038119
XGBoost,10,2.330407965928316
MLP_NN,10,1.4679220039397478
LSTM,10,27.99202100140974
XGBoost,10,1.4116449747234583
MLP_NN,10,1.0085940011776984
LSTM,10,28.460385976359248
XGBoost,10,1.6124080284498632
MLP_NN,10,1.0060530039481819
LSTM,10,27.688587026204914
XGBoost,10,1.3656500377692282
MLP_NN,10,0.9724929695948958
LSTM,10,27.56738697644323
XGBoost,10,1.3537720078602433
MLP_NN,10,1.0251720086671412
LSTM,10,27.350908960215747
XGBoost,10,2.0968219614587724
MLP_NN,10,1.0008170502260327
LSTM,10,27.82715600915253
XGBoost,10,1.416828017681837
MLP_NN,10,0.9941519820131361
LSTM,10,31.113595003262162
XGBoost,10,2.4551019887439907
MLP_NN,10,1.3242230052128434
LSTM,10,29.03687604703009
XGBoost,10,2.453893015626818
MLP_NN,10,1.0746789630502462
LSTM,10,32.10630803368986
XGBoost,10,1.446296984795481
MLP_NN,10,1.0346100316382945
LSTM,10,28.466826013755053
XGBoost,10,1.3831249671056867
MLP_NN,10,0.9955560090020299
LSTM,10,28.171262005344033
XGBoost,10,1.886393001768738
MLP_NN,10,1.012378023006022
LSTM,10,29.112632968463004
XGBoost,10,1.4997469843365252
MLP_NN,10,1.0332340025343
LSTM,10,28.281782986596227
XGBoost,10,1.5209109988063574
MLP_NN,10,1.0329739889129996
